#WALL;X;Y;WALL_TOP;WALL_RIGHT;WALL_BOTTOM;WALL_LEFT
#BOTTOM
W;-2;-1;0;1;1;0
W;-3;-1;0;0;1;0
W;-4;-1;0;0;1;0
W;-5;-1;0;0;1;1
#LEFT
W;-5;0;0;0;0;1
#TOP
W;-2;1;1;1;0;0
W;-3;1;1;0;0;0
W;-4;1;1;0;0;0
W;-5;1;1;0;0;1

#CENTER
W;-1;0;1;0;1;0
W;0;0;1;0;1;0
W;1;0;1;0;1;0

#BOTTOM
W;2;-1;0;0;1;1
W;3;-1;0;0;1;0
W;4;-1;0;0;1;0
W;5;-1;0;1;1;0
#RIGHT
W;5;0;0;1;0;0
#TOP
W;2;1;1;0;0;1
W;3;1;1;0;0;0
W;4;1;1;0;0;0
W;5;1;1;1;0;0

#BUTTONS
B;-1.33;0;0;0;0;1
B;1.33;0;0;1;0;0
